run_id,seed_used,success,restarts_used,total_iterations,time_s,final_conflicts,strategy
1,42,False,1,4,0.0007241770217660815,5,first-improvement
2,43,False,1,3,0.0005293430003803223,4,first-improvement
3,44,False,1,4,0.0005428809963632375,3,first-improvement
4,45,False,1,4,0.0006699390069115907,5,first-improvement
5,46,False,1,5,0.0008555300009902567,5,first-improvement
6,47,False,1,3,0.0005385280237533152,6,first-improvement
7,48,False,1,3,0.0006436019903048873,4,first-improvement
8,49,False,1,2,0.002410443004919216,4,first-improvement
9,50,False,1,5,0.0008338449988514185,4,first-improvement
10,51,False,1,5,0.0005464049754664302,4,first-improvement
11,52,False,1,4,0.0007235149969346821,3,first-improvement
12,53,False,1,4,0.0007568860019091517,5,first-improvement
13,54,False,1,2,0.0004464559897314757,7,first-improvement
14,55,False,1,4,0.0007782590109854937,6,first-improvement
15,56,False,1,3,0.0008477320079691708,2,first-improvement
16,57,False,1,3,0.002672672999324277,3,first-improvement
17,58,False,1,4,0.000784785021096468,7,first-improvement
18,59,False,1,4,0.0010402739862911403,3,first-improvement
19,60,False,1,3,0.0004662059945985675,6,first-improvement
20,61,False,1,3,0.0005695569852832705,3,first-improvement
21,62,False,1,4,0.0006957590230740607,4,first-improvement
22,63,False,1,2,0.00036226800875738263,6,first-improvement
23,64,False,1,4,0.0004826769873034209,2,first-improvement
24,65,False,1,4,0.00044683399028144777,5,first-improvement
25,66,False,1,2,0.00043735301005654037,5,first-improvement
26,67,False,1,4,0.0005041520053055137,6,first-improvement
27,68,False,1,4,0.0007073949964251369,4,first-improvement
28,69,False,1,5,0.0027247630059719086,3,first-improvement
29,70,False,1,2,0.0004689259803853929,4,first-improvement
30,71,False,1,5,0.0006152400164864957,4,first-improvement
